Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,37.6,38.39,36.33,36.76,36.76,431985
2016-01-05,36.9,37.1,35.74,35.97,35.97,410131
2016-01-06,36.18,36.39,33.77,33.97,33.97,563811
2016-01-07,34.09,34.26,32.1,33.27,33.27,617409
2016-01-08,33.3,34.34,32.64,33.16,33.16,596496
2016-01-11,32.94,33.2,30.88,31.41,31.41,648640
2016-01-12,31.11,32.21,29.93,30.44,30.44,627218
2016-01-13,30.54,31.71,30.1,30.48,30.48,637903
2016-01-14,30.6,31.77,30.28,31.2,31.2,537906
2016-01-15,31.18,31.18,29.13,29.42,29.42,329094
2016-01-19,29.2,30.21,28.21,28.46,28.46,188026
2016-01-20,28.33,28.58,26.19,26.55,26.55,690039
2016-01-21,28.35,30.25,27.87,29.53,29.53,694040
2016-01-22,29.84,32.35,29.53,32.19,32.19,636573
2016-01-25,32.05,32.74,29.68,30.34,30.34,606892
2016-01-26,29.81,32.41,29.25,31.45,31.45,642432
2016-01-27,30.55,32.84,30.14,32.3,32.3,738551
2016-01-28,32.19,34.82,31.74,33.22,33.22,833378
2016-01-29,33.7,34.4,32.65,33.62,33.62,618110
2016-02-01,33.83,34.18,31.29,31.62,31.62,595612
2016-02-02,31.37,31.53,29.57,29.88,29.88,602564
2016-02-03,29.75,32.75,29.4,32.28,32.28,811699
2016-02-04,32.71,33.6,31.53,31.72,31.72,696721
2016-02-05,31.64,32.45,30.63,30.89,30.89,616531
2016-02-08,30.97,31.38,29.57,29.69,29.69,603646
2016-02-09,30.17,30.61,27.74,27.94,27.94,738219
2016-02-10,28.36,29.22,27.24,27.45,27.45,781280
2016-02-11,27.34,27.48,26.05,26.21,26.21,795965
2016-02-12,27.3,29.66,26.95,29.44,29.44,675157
2016-02-16,29.08,31.53,28.7,29.04,29.04,651956
2016-02-17,29.14,31.49,28.73,30.66,30.66,578639
2016-02-18,31.35,31.98,30.27,30.77,30.77,225497
2016-02-19,30.6,30.73,29.05,29.64,29.64,103202
2016-02-22,29.72,32.05,29.48,31.48,31.48,521016
2016-02-23,33.34,33.53,31.22,31.87,31.87,539379
2016-02-24,31.28,32.4,30.56,32.15,32.15,652245
2016-02-25,32.19,33.49,31.07,33.07,33.07,611874
2016-02-26,33.04,34.69,32.64,32.78,32.78,646294
2016-02-29,32.72,33.98,32.32,33.75,33.75,512468
2016-03-01,33.9,34.76,33.37,34.4,34.4,566226
2016-03-02,33.89,35.17,33.55,34.66,34.66,597834
2016-03-03,34.73,35.32,34.19,34.57,34.57,512962
2016-03-04,34.66,36.34,34.4,35.92,35.92,578290
2016-03-07,36.2,38.11,36.09,37.9,37.9,709870
2016-03-08,37.94,38.39,36.12,36.5,36.5,706933
2016-03-09,36.36,38.51,36.24,38.29,38.29,740632
2016-03-10,38.17,38.48,37.21,37.84,37.84,701435
2016-03-11,37.99,39.02,37.92,38.5,38.5,564791
2016-03-13,38.17,38.77,36.68,37.18,37.18,489938
2016-03-14,37.37,37.4,35.96,36.34,36.34,446100
2016-03-15,36.74,38.63,36.61,38.46,38.46,494174
2016-03-16,38.59,40.36,38.47,40.2,40.2,298013
2016-03-17,40.25,41.2,39.15,39.44,39.44,130151
2016-03-20,39.06,40.3,38.61,39.91,39.91,479337
2016-03-21,41.59,41.9,40.77,41.45,41.45,463693
2016-03-22,41.19,41.34,39.67,39.79,39.79,492003
2016-03-23,39.73,39.77,38.33,39.46,39.46,495168
2016-03-27,39.55,40.14,38.86,39.39,39.39,299775
2016-03-28,39.32,39.48,37.91,38.28,38.28,488032
2016-03-29,38.52,39.85,38.14,38.32,38.32,542469
2016-03-30,38.3,39.04,37.57,38.34,38.34,532152
2016-03-31,38.14,38.56,36.63,36.79,36.79,547190
2016-04-03,36.61,37.21,35.46,35.7,35.7,549477
2016-04-04,35.5,36.58,35.24,35.89,35.89,485543
2016-04-05,36.52,37.9,36.43,37.75,37.75,751048
2016-04-06,37.76,38.3,36.69,37.26,37.26,626749
2016-04-07,37.52,39.84,37.45,39.72,39.72,817230
2016-04-10,39.72,40.75,39.25,40.36,40.36,679351
2016-04-11,40.35,42.25,40.09,42.17,42.17,796837
2016-04-12,41.63,42.42,41.24,41.76,41.76,730437
2016-04-13,41.54,42.16,40.84,41.5,41.5,488614
2016-04-14,41.43,41.73,39.98,40.36,40.36,520146
2016-04-17,38.75,40.24,37.61,39.78,39.78,342463
2016-04-18,40.04,41.53,39.58,41.08,41.08,101734
2016-04-19,40.8,42.91,39.85,42.63,42.63,796240
2016-04-20,43.97,44.49,43.05,43.18,43.18,671103
2016-04-21,43.42,44.45,43.11,43.73,43.73,575107
2016-04-24,43.75,44.04,42.58,42.64,42.64,606383
2016-04-25,42.96,44.83,42.5,44.04,44.04,564392
2016-04-26,44.64,45.62,43.77,45.33,45.33,648028
2016-04-27,45.3,46.14,44.94,46.03,46.03,487412
2016-04-28,45.9,46.78,45.24,45.92,45.92,598439
2016-05-01,45.9,46.15,44.54,44.78,44.78,464027
2016-05-02,44.92,45.35,43.32,43.65,43.65,625551
2016-05-03,43.85,44.88,43.22,43.78,43.78,711125
2016-05-04,44.04,46.07,43.96,44.32,44.32,746159
2016-05-05,44.52,45.34,43.54,44.66,44.66,695306
2016-05-08,45,45.94,43.24,43.44,43.44,767568
2016-05-09,43.25,44.79,43.03,44.66,44.66,709415
2016-05-10,44.6,46.36,43.96,46.23,46.23,869957
2016-05-11,46,47.02,45.61,46.7,46.7,715102
2016-05-12,46.41,46.49,45.75,46.21,46.21,519363
2016-05-15,46.28,47.98,46.15,47.72,47.72,550863
2016-05-16,47.9,48.76,47.53,48.31,48.31,470440
2016-05-17,48.53,48.95,47.75,48.19,48.19,343184
2016-05-18,47.87,48.28,46.73,48.16,48.16,108816
2016-05-19,48.2,48.79,47.44,47.75,47.75,538047
2016-05-22,48.46,48.5,47.4,48.08,48.08,475453
2016-05-23,48.08,49.27,47.64,48.62,48.62,475965
2016-05-24,49.09,49.75,48.65,49.56,49.56,550501
2016-05-25,49.7,50.21,49.22,49.48,49.48,488465
2016-05-26,49.31,49.6,48.69,49.33,49.33,406386
2016-05-30,49.54,50.1,48.81,49.1,49.1,476988
2016-05-31,48.82,49.25,47.75,49.01,49.01,568839
2016-06-01,48.9,49.47,47.97,49.17,49.17,564846
2016-06-02,49.04,49.41,48.33,48.62,48.62,481034
2016-06-05,48.88,49.9,48.71,49.69,49.69,450472
2016-06-06,49.71,50.53,49.44,50.36,50.36,542254
2016-06-07,50.41,51.62,50.32,51.23,51.23,656416
2016-06-08,51.45,51.67,50.23,50.56,50.56,560723
2016-06-09,50.47,50.73,48.8,49.07,49.07,596119
2016-06-12,48.85,49.28,48.16,48.88,48.88,506036
2016-06-13,48.52,48.69,47.84,48.49,48.49,456144
2016-06-14,47.9,48.72,47.28,48.01,48.01,527870
2016-06-15,47.45,47.75,45.91,46.21,46.21,507910
2016-06-16,45.99,48.29,45.83,47.98,47.98,226653
2016-06-19,48.29,49.42,48.14,49.37,49.37,98293
2016-06-20,49.14,49.32,48.16,48.85,48.85,475407
2016-06-21,50.22,50.54,48.4,49.13,49.13,569939
2016-06-22,49.08,50.23,49.08,50.11,50.11,401885
2016-06-23,50.3,50.45,46.7,47.64,47.64,649446
2016-06-26,47.81,47.96,45.83,46.33,46.33,504613
2016-06-27,46.59,48.18,46.54,47.85,47.85,498851
2016-06-28,48.06,50,47.98,49.88,49.88,511476
2016-06-29,49.55,49.62,48.17,48.33,48.33,508736
2016-06-30,48.38,49.3,47.9,48.99,48.99,405187
2016-07-04,49.11,49.35,46.33,46.6,46.6,609194
2016-07-05,46.83,47.95,45.92,47.43,47.43,607663
2016-07-06,47.88,48.25,44.87,45.14,45.14,710893
2016-07-07,45.19,45.97,44.77,45.41,45.41,583078
2016-07-10,45.07,45.77,44.42,44.76,44.76,533657
2016-07-11,44.58,46.93,44.51,46.8,46.8,658257
2016-07-12,46.58,46.71,44.56,44.75,44.75,686245
2016-07-13,45.14,45.8,44.95,45.68,45.68,573761
2016-07-14,45.52,46.33,45.05,45.95,45.95,430256
2016-07-17,46.12,46.14,44.86,45.24,45.24,211393
2016-07-18,45.23,45.67,44.53,44.65,44.65,128127
2016-07-19,44.59,45.25,43.69,44.94,44.94,541014
2016-07-20,45.65,46.09,44.52,44.75,44.75,432972
2016-07-21,44.6,44.97,43.74,44.19,44.19,428407
2016-07-24,44.2,44.37,42.97,43.13,43.13,389837
2016-07-25,43.07,43.39,42.36,42.92,42.92,461324
2016-07-26,42.66,43.2,41.68,41.92,41.92,537390
2016-07-27,41.93,42.22,41.04,41.14,41.14,447913
2016-07-28,41.12,41.67,40.57,41.6,41.6,478763
2016-07-31,41.35,41.88,39.82,40.06,40.06,533020
2016-08-01,40.08,40.91,39.26,39.51,39.51,534512
2016-08-02,39.7,41.2,39.19,40.83,40.83,655186
2016-08-03,41.16,42.08,40.43,41.93,41.93,598836
2016-08-04,41.84,42.1,41.06,41.8,41.8,550189
2016-08-07,41.99,43.39,41.81,43.02,43.02,562530
2016-08-08,42.83,43.52,42.47,42.77,42.77,624703
2016-08-09,42.74,43.39,41.42,41.71,41.71,676148
2016-08-10,41.48,43.86,41.1,43.49,43.49,682235
2016-08-11,43.46,44.78,43.31,44.49,44.49,536081
2016-08-14,44.74,45.93,44.38,45.74,45.74,522526
2016-08-15,45.59,46.73,45.34,46.58,46.58,550440
2016-08-16,46.37,46.95,45.84,46.79,46.79,563354
2016-08-17,46.9,48.38,46.63,48.22,48.22,229277
2016-08-18,48.33,48.75,47.93,48.52,48.52,162438
2016-08-21,48.4,48.4,46.75,47.05,47.05,515256
2016-08-22,47.39,48.32,46.59,48.1,48.1,623904
2016-08-23,47.59,47.74,46.45,46.77,46.77,603495
2016-08-24,46.8,47.46,46.42,47.33,47.33,458816
2016-08-25,47.37,48.46,46.94,47.64,47.64,558344
2016-08-28,47.22,47.28,46.62,46.98,46.98,309254
2016-08-29,46.98,47.49,46.21,46.35,46.35,464449
2016-08-30,46.24,46.41,44.51,44.7,44.7,549007
2016-08-31,44.85,45.08,43,43.16,43.16,605003
2016-09-01,43.55,44.67,43.16,44.44,44.44,576915
2016-09-05,44.15,46.53,43.84,44.83,44.83,932145
2016-09-06,44.85,46.17,44.55,45.5,45.5,572884
2016-09-07,46.12,47.75,45.77,47.62,47.62,761943
2016-09-08,47.36,47.36,45.56,45.88,45.88,688191
2016-09-11,45.57,46.51,44.72,46.29,46.29,745016
2016-09-12,46.06,46.13,44.77,44.9,44.9,657775
2016-09-13,45,45.33,43.42,43.58,43.58,705861
2016-09-14,43.7,44.34,43.26,43.91,43.91,537185
2016-09-15,43.71,43.75,42.74,43.03,43.03,231191
2016-09-18,43.18,44.15,43.12,43.3,43.3,129857
2016-09-19,43.13,44.05,42.55,43.44,43.44,694130
2016-09-20,44.5,45.65,44.5,45.34,45.34,585987
2016-09-21,45.62,46.52,45.52,46.32,46.32,521680
2016-09-22,46.07,46.55,44.22,44.48,44.48,718395
2016-09-25,44.62,46.2,44.43,45.93,45.93,527119
2016-09-26,45.62,45.96,44.19,44.67,44.67,630757
2016-09-27,44.96,47.45,44.35,47.05,47.05,1008434
2016-09-28,47.2,48.32,46.6,47.83,47.83,702649
2016-09-29,47.76,48.3,47.04,48.24,48.24,496515
2016-10-02,48.04,49.02,47.78,48.81,48.81,458021
2016-10-03,48.65,49.26,48.26,48.69,48.69,513710
